Igehely	Strong-szám	Görög szóalak	Morfológiai kód	Forrás
Hag 1:1	G1722	εν	PREP	LXX_WH
Hag 1:1	G3588	τω	T-DSN	LXX_WH
Hag 1:1	G1208	δευτερω	A-DSN	LXX_WH
Hag 1:1	G2094	ετει	N-DSN	LXX_WH
Hag 1:1	G1909	επι	PREP	LXX_WH
Hag 1:1		δαρειου	N-GSM	ELTERO_SZOVEGALAP
Hag 1:1	G3588	του	T-GSM	LXX_WH
Hag 1:1	G0935	βασιλεως	N-GSM	LXX_WH
Hag 1:1	G1722	εν	PREP	LXX_WH
Hag 1:1	G3588	τω	T-DSM	LXX_WH
Hag 1:1	G3303	μηνι	N-DSM	LXX_WH
Hag 1:1	G3588	τω	T-DSM	LXX_WH
Hag 1:1	G1622	εκτω	A-DSM	LXX_WH
Hag 1:1	G1519	μια	A-DSF	LXX_WH
Hag 1:1	G3588	του	T-GSM	LXX_WH
Hag 1:1	G3303	μηνος	N-GSM	LXX_WH
Hag 1:1	G1096	εγενετο	V-AMI-3S	LXX_WH
Hag 1:1	G3056	λογος	N-NSM	LXX_WH
Hag 1:1	G2962	κυριου	N-GSM	LXX_WH
Hag 1:1	G1722	εν	PREP	LXX_WH
Hag 1:1	G5495	χειρι	N-DSF	LXX_WH
Hag 1:1		αγγαιου	N-GSM	ELTERO_SZOVEGALAP
Hag 1:1	G3588	του	T-GSM	LXX_WH
Hag 1:1	G4396	προφητου	N-GSM	LXX_WH
Hag 1:1	G3004	λεγων	V-PAPNS	LXX_WH
Hag 1:1		ειπον	V-AAD-2S	ELTERO_SZOVEGALAP
Hag 1:1	G1161	δη	PRT	LXX_WH
Hag 1:1	G4314	προς	PREP	LXX_WH
Hag 1:1	G2216	ζοροβαβελ	N-PRI	LXX_WH
Hag 1:1	G3588	τον	T-ASM	LXX_WH
Hag 1:1	G3588	του	T-GSM	LXX_WH
Hag 1:1	G4528	σαλαθιηλ	N-PRI	LXX_WH
Hag 1:1	G1537	εκ	PREP	LXX_WH
Hag 1:1	G5443	φυλης	N-GSF	LXX_WH
Hag 1:1	G2448	ιουδα	N-PRI	LXX_WH
Hag 1:1	G2532	και	CONJ	LXX_WH
Hag 1:1	G4314	προς	PREP	LXX_WH
Hag 1:1	G2424	ιησουν	N-PRI	LXX_WH
Hag 1:1	G3588	τον	T-ASM	LXX_WH
Hag 1:1	G3588	του	T-GSM	LXX_WH
Hag 1:1		ιωσεδεκ	N-PRI	
Hag 1:1	G3588	τον	T-ASM	LXX_WH
Hag 1:1	G2409	ιερεα	N-ASM	LXX_WH
Hag 1:1	G3588	τον	T-ASM	LXX_WH
Hag 1:1	G3173	μεγαν	A-ASM	LXX_WH
Hag 1:1	G3004	λεγων	V-PAPNS	LXX_WH
Hag 1:2	G3592	ταδε	D-APN	LXX_WH
Hag 1:2	G3004	λεγει	V-PAI-3S	LXX_WH
Hag 1:2	G2962	κυριος	N-NSM	LXX_WH
Hag 1:2	G3841	παντοκρατωρ	N-NSM	LXX_WH
Hag 1:2	G3004	λεγων	V-PAPNS	LXX_WH
Hag 1:2	G3588	ο	T-NSM	LXX_WH
Hag 1:2	G2992	λαος	N-NSM	LXX_WH
Hag 1:2	G3778	ουτος	D-NSM	LXX_WH
Hag 1:2	G3004	λεγουσιν	V-PAI-3P	LXX_WH
Hag 1:2	G3364	ουχ	ADV	LXX_WH
Hag 1:2	G1854	ηκει	V-PAI-3S	LXX_WH
Hag 1:2	G3588	ο	T-NSM	LXX_WH
Hag 1:2	G2540	καιρος	N-NSM	LXX_WH
Hag 1:2	G3588	του	T-GSN	LXX_WH
Hag 1:2	G3618	οικοδομησαι	V-AAN	LXX_WH
Hag 1:2	G3588	τον	T-ASM	LXX_WH
Hag 1:2	G3624	οικον	N-ASM	LXX_WH
Hag 1:2	G2962	κυριου	N-GSM	LXX_WH
Hag 1:3	G2532	και	CONJ	LXX_WH
Hag 1:3	G1096	εγενετο	V-AMI-3S	LXX_WH
Hag 1:3	G3056	λογος	N-NSM	LXX_WH
Hag 1:3	G2962	κυριου	N-GSM	LXX_WH
Hag 1:3	G1722	εν	PREP	LXX_WH
Hag 1:3	G5495	χειρι	N-DSF	LXX_WH
Hag 1:3		αγγαιου	N-GSM	
Hag 1:3	G3588	του	T-GSM	LXX_WH
Hag 1:3	G4396	προφητου	N-GSM	LXX_WH
Hag 1:3	G3004	λεγων	V-PAPNS	LXX_WH
Hag 1:4	G1487	ει	CONJ	LXX_WH
Hag 1:4	G2540	καιρος	N-NSM	LXX_WH
Hag 1:4	G4771	υμιν	P-DP	LXX_WH
Hag 1:4	G3303	μεν	PRT	LXX_WH
Hag 1:4	G1510	εστιν	V-PAI-3S	LXX_WH
Hag 1:4	G3588	του	T-GSN	LXX_WH
Hag 1:4	G3611	οικειν	V-PAN	LXX_WH
Hag 1:4	G1722	εν	PREP	LXX_WH
Hag 1:4	G3624	οικοις	N-DPM	LXX_WH
Hag 1:4	G4771	υμων	P-GP	LXX_WH
Hag 1:4		κοιλοσταθμοις	N-DPM	ELTERO_SZOVEGALAP
Hag 1:4	G3588	ο	T-NSM	LXX_WH
Hag 1:4	G1161	δε	PRT	LXX_WH
Hag 1:4	G3624	οικος	N-NSM	LXX_WH
Hag 1:4	G3778	ουτος	D-NSM	LXX_WH
Hag 1:4		εξηρημωται	V-RMI-3S	ELTERO_SZOVEGALAP
Hag 1:5	G2532	και	CONJ	LXX_WH
Hag 1:5	G3568	νυν	ADV	LXX_WH
Hag 1:5	G3592	ταδε	D-APN	LXX_WH
Hag 1:5	G3004	λεγει	V-PAI-3S	LXX_WH
Hag 1:5	G2962	κυριος	N-NSM	LXX_WH
Hag 1:5	G3841	παντοκρατωρ	N-NSM	LXX_WH
Hag 1:5	G5021	ταξατε	V-AAD-2P	LXX_WH
Hag 1:5	G1161	δη	PRT	LXX_WH
Hag 1:5	G3588	τας	T-APF	LXX_WH
Hag 1:5	G2588	καρδιας	N-APF	LXX_WH
Hag 1:5	G4771	υμων	P-GP	LXX_WH
Hag 1:5	G1519	εις	PREP	LXX_WH
Hag 1:5	G3588	τας	T-APF	LXX_WH
Hag 1:5	G3598	οδους	N-APF	LXX_WH
Hag 1:5	G4771	υμων	P-GP	LXX_WH
Hag 1:6	G4687	εσπειρατε	V-AAI-2P	LXX_WH
Hag 1:6	G4183	πολλα	A-APN	LXX_WH
Hag 1:6	G2532	και	CONJ	LXX_WH
Hag 1:6	G1533	εισηνεγκατε	V-AAI-2P	LXX_WH
Hag 1:6	G3641	ολιγα	A-APN	LXX_WH
Hag 1:6	G2068	εφαγετε	V-AAI-2P	LXX_WH
Hag 1:6	G2532	και	CONJ	LXX_WH
Hag 1:6	G3364	ουκ	ADV	LXX_WH
Hag 1:6	G1519	εις	PREP	LXX_WH
Hag 1:6	G4140	πλησμονην	N-ASF	LXX_WH
Hag 1:6	G4095	επιετε	V-AAI-2P	LXX_WH
Hag 1:6	G2532	και	CONJ	LXX_WH
Hag 1:6	G3364	ουκ	ADV	LXX_WH
Hag 1:6	G1519	εις	PREP	LXX_WH
Hag 1:6	G3178	μεθην	N-ASF	LXX_WH
Hag 1:6	G4016	περιεβαλεσθε	V-AMI-2P	LXX_WH
Hag 1:6	G2532	και	CONJ	LXX_WH
Hag 1:6	G3364	ουκ	ADV	LXX_WH
Hag 1:6	G2328	εθερμανθητε	V-API-2P	LXX_WH
Hag 1:6	G1722	εν	PREP	LXX_WH
Hag 1:6	G0846	αυτοις	D-DPM	LXX_WH
Hag 1:6	G2532	και	CONJ	LXX_WH
Hag 1:6	G3588	ο	T-NSM	LXX_WH
Hag 1:6	G3588	τους	T-APM	LXX_WH
Hag 1:6	G3408	μισθους	N-APM	LXX_WH
Hag 1:6	G4863	συναγων	V-PAPNS	LXX_WH
Hag 1:6	G4863	συνηγαγεν	V-AAI-3S	LXX_WH
Hag 1:6	G1519	εις	PREP	LXX_WH
Hag 1:6		δεσμον	N-ASM	ELTERO_SZOVEGALAP
Hag 1:6		τετρυπημενον	V-RMPAS	ELTERO_SZOVEGALAP
Hag 1:7	G3592	ταδε	D-APN	LXX_WH
Hag 1:7	G3004	λεγει	V-PAI-3S	LXX_WH
Hag 1:7	G2962	κυριος	N-NSM	LXX_WH
Hag 1:7	G3841	παντοκρατωρ	N-NSM	LXX_WH
Hag 1:7	G5087	θεσθε	V-AMD-2P	LXX_WH
Hag 1:7	G3588	τας	T-APF	LXX_WH
Hag 1:7	G2588	καρδιας	N-APF	LXX_WH
Hag 1:7	G4771	υμων	P-GP	LXX_WH
Hag 1:7	G1519	εις	PREP	LXX_WH
Hag 1:7	G3588	τας	T-APF	LXX_WH
Hag 1:7	G3598	οδους	N-APF	LXX_WH
Hag 1:7	G4771	υμων	P-GP	LXX_WH
Hag 1:8	G0305	αναβητε	V-AAS-2P	LXX_WH
Hag 1:8	G1909	επι	PREP	LXX_WH
Hag 1:8	G3588	το	T-ASN	LXX_WH
Hag 1:8	G3735	ορος	N-ASN	LXX_WH
Hag 1:8	G2532	και	CONJ	LXX_WH
Hag 1:8	G2875	κοψατε	V-AAD-2P	LXX_WH
Hag 1:8	G3586	ξυλα	N-APN	LXX_WH
Hag 1:8	G2532	και	CONJ	LXX_WH
Hag 1:8	G3618	οικοδομησατε	V-AAD-2P	LXX_WH
Hag 1:8	G3588	τον	T-ASM	LXX_WH
Hag 1:8	G3624	οικον	N-ASM	LXX_WH
Hag 1:8	G2532	και	CONJ	LXX_WH
Hag 1:8	G2106	ευδοκησω	V-FAI-1S	LXX_WH
Hag 1:8	G1722	εν	PREP	LXX_WH
Hag 1:8	G0846	αυτω	D-DSM	LXX_WH
Hag 1:8	G2532	και	CONJ	LXX_WH
Hag 1:8		ενδοξασθησομαι	V-FPI-1S	ELTERO_SZOVEGALAP
Hag 1:8		ειπεν	V-AAI-3S	ELTERO_SZOVEGALAP
Hag 1:8	G2962	κυριος	N-NSM	LXX_WH
Hag 1:9	G1914	επεβλεψατε	V-AAI-2P	LXX_WH
Hag 1:9	G1519	εις	PREP	LXX_WH
Hag 1:9	G4183	πολλα	A-APN	LXX_WH
Hag 1:9	G2532	και	CONJ	LXX_WH
Hag 1:9	G1096	εγενετο	V-AMI-3S	LXX_WH
Hag 1:9	G3641	ολιγα	A-NPN	LXX_WH
Hag 1:9	G2532	και	CONJ	LXX_WH
Hag 1:9	G1533	εισηνεχθη	V-API-3S	LXX_WH
Hag 1:9	G1519	εις	PREP	LXX_WH
Hag 1:9	G3588	τον	T-ASM	LXX_WH
Hag 1:9	G3624	οικον	N-ASM	LXX_WH
Hag 1:9	G2532	και	CONJ	LXX_WH
Hag 1:9		εξεφυσησα	V-AAI-1S	ELTERO_SZOVEGALAP
Hag 1:9	G0846	αυτα	D-APN	LXX_WH
Hag 1:9	G1223	δια	PREP	LXX_WH
Hag 1:9	G3778	τουτο	D-ASN	LXX_WH
Hag 1:9	G3592	ταδε	D-APN	LXX_WH
Hag 1:9	G3004	λεγει	V-PAI-3S	LXX_WH
Hag 1:9	G2962	κυριος	N-NSM	LXX_WH
Hag 1:9	G3841	παντοκρατωρ	N-NSM	LXX_WH
Hag 1:9	G0473	ανθ	PREP	LXX_WH
Hag 1:9	G3739	ων	R-GPN	LXX_WH
Hag 1:9	G3588	ο	T-NSM	LXX_WH
Hag 1:9	G3624	οικος	N-NSM	LXX_WH
Hag 1:9	G1473	μου	P-GS	LXX_WH
Hag 1:9	G1510	εστιν	V-PAI-3S	LXX_WH
Hag 1:9	G2048	ερημος	N-NSF	LXX_WH
Hag 1:9	G4771	υμεις	P-NP	LXX_WH
Hag 1:9	G1161	δε	PRT	LXX_WH
Hag 1:9	G1377	διωκετε	V-PAI-2P	LXX_WH
Hag 1:9	G1538	εκαστος	A-NSM	LXX_WH
Hag 1:9	G1519	εις	PREP	LXX_WH
Hag 1:9	G3588	τον	T-ASM	LXX_WH
Hag 1:9	G3624	οικον	N-ASM	LXX_WH
Hag 1:9	G0846	αυτου	D-GSM	LXX_WH
Hag 1:10	G1223	δια	PREP	LXX_WH
Hag 1:10	G3778	τουτο	D-ASN	LXX_WH
Hag 1:10	G0430	ανεξει	V-FAI-3S	ABP-potolt
Hag 1:10	G3588	ο	T-NSM	LXX_WH
Hag 1:10	G3772	ουρανος	N-NSM	LXX_WH
Hag 1:10	G0575	απο	PREP	LXX_WH
Hag 1:10	G1408	δροσου	N-GSF	ABP-potolt
Hag 1:10	G2532	και	CONJ	LXX_WH
Hag 1:10	G3588	η	T-NSF	LXX_WH
Hag 1:10	G1065	γη	N-NSF	LXX_WH
Hag 1:10	G5288	υποστελειται	V-FMI-3S	LXX_WH
Hag 1:10	G3588	τα	T-APN	LXX_WH
Hag 1:10		εκφορια	N-APN	ELTERO_SZOVEGALAP
Hag 1:10	G0846	αυτης	D-GSF	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11		επαξω	V-FAI-1S	ELTERO_SZOVEGALAP
Hag 1:11		ρομφαιαν	N-ASF	ELTERO_SZOVEGALAP
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3588	την	T-ASF	LXX_WH
Hag 1:11	G1065	γην	N-ASF	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3588	τα	T-APN	LXX_WH
Hag 1:11	G3735	ορη	N-APN	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3588	τον	T-ASM	LXX_WH
Hag 1:11	G4621	σιτον	N-ASM	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3588	τον	T-ASM	LXX_WH
Hag 1:11	G3631	οινον	N-ASM	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3588	το	T-ASN	LXX_WH
Hag 1:11	G1637	ελαιον	N-ASN	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11	G3745	οσα	A-APN	LXX_WH
Hag 1:11	G1627	εκφερει	V-PAI-3S	LXX_WH
Hag 1:11	G3588	η	T-NSF	LXX_WH
Hag 1:11	G1065	γη	N-NSF	LXX_WH
Hag 1:11	G2532	και	ADV	LXX_WH
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3588	τους	T-APM	LXX_WH
Hag 1:11	G0444	ανθρωπους	N-APM	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3588	τα	T-APN	LXX_WH
Hag 1:11	G2934	κτηνη	N-APN	LXX_WH
Hag 1:11	G2532	και	CONJ	LXX_WH
Hag 1:11	G1909	επι	PREP	LXX_WH
Hag 1:11	G3956	παντας	A-APM	LXX_WH
Hag 1:11	G3588	τους	T-APM	LXX_WH
Hag 1:11	G4192	πονους	N-APM	LXX_WH
Hag 1:11	G3588	των	T-GPM	LXX_WH
Hag 1:11	G5495	χειρων	N-GPF	LXX_WH
Hag 1:11	G0846	αυτων	D-GPM	LXX_WH
Hag 1:12	G2532	και	CONJ	LXX_WH
Hag 1:12	G0191	ηκουσεν	V-AAI-3S	LXX_WH
Hag 1:12	G2216	ζοροβαβελ	N-PRI	LXX_WH
Hag 1:12	G3588	ο	T-NSM	LXX_WH
Hag 1:12	G3588	του	T-GSM	LXX_WH
Hag 1:12	G4528	σαλαθιηλ	N-PRI	LXX_WH
Hag 1:12	G1537	εκ	PREP	LXX_WH
Hag 1:12	G5443	φυλης	N-GSF	LXX_WH
Hag 1:12	G2448	ιουδα	N-PRI	LXX_WH
Hag 1:12	G2532	και	CONJ	LXX_WH
Hag 1:12	G2424	ιησους	N-PRI	LXX_WH
Hag 1:12	G3588	ο	T-NSM	LXX_WH
Hag 1:12	G3588	του	T-GSM	LXX_WH
Hag 1:12		ιωσεδεκ	N-PRI	
Hag 1:12	G3588	ο	T-NSM	LXX_WH
Hag 1:12	G2409	ιερευς	N-NSM	LXX_WH
Hag 1:12	G3588	ο	T-NSM	LXX_WH
Hag 1:12	G3173	μεγας	A-NSM	LXX_WH
Hag 1:12	G2532	και	CONJ	LXX_WH
Hag 1:12	G3956	παντες	A-NPM	LXX_WH
Hag 1:12	G3588	οι	T-NPM	LXX_WH
Hag 1:12	G2645	καταλοιποι	A-NPM	LXX_WH
Hag 1:12	G3588	του	T-GSM	LXX_WH
